,Description,TotalSalesDollars,ProfitMargin
425,BV Coastal Estate Svgn Bl,560.35,52.779512804497195
426,BV GDL Private Rsv Cab Svgn,4799.6,28.604050337528136
429,Bacardi 1873 Solera Rum,2353.43,89.38145600251546
431,Bacardi 8 Gift Set,869.65,91.7898004944518
432,Bacardi Anejo Mexican Rum,2476.23,59.05711504989439
433,Bacardi Artic Grape Rum,195.85999999999999,51.046665985908305
437,Bacardi Coconut,5752.89,97.84282334617905
438,Bacardi Dragon Berry,3203.64,94.76345656815374
440,Bacardi Dragon Berry Trav,709.29,87.92031468087805
447,Bacardi Limon Traveler,409.59000000000003,96.4403427818062
450,Bacardi O Orange Rum,2294.35,23.806194171219655
452,Bacardi Oakheart Spiced Trav,399.6,98.13313313313314
454,Bacardi Party Drinks Hurricn,159.9,33.35834896810507
455,Bacardi Party Drinks Rum Run,303.81,4.315196998123832
458,Bacardi Peach Red Rum,287.76,39.6163469557965
461,Bacardi Reserva Limitada,2879.68,95.30086676297365
472,Badenhorst Secateurs Chen Bl,6785.28,32.84256508205999
473,Badenhorst Secateurs Red,4045.17,16.494980433455204
486,Bak's Krupnik Honey Liqueur,704.53,36.672675400621685
488,Bakon Vodka,2049.18,43.77751100440176
489,Balcones Baby Blue Corn Whis,275.94,22.483148510545767
490,Balcones TX Whisky Single Ba,389.94,23.08047391906447
493,Balletto 15 Rose Pnt Nr RRV,9956.14,15.818278971569297
499,Balvenie 15 Yr Single Malt,899.9000000000001,57.141904656072896
503,Banfi Centine Bianco Toscana,4649.83,39.384235552697625
509,Banfi Grappa Castello,1984.48,35.06812867854552
510,Banfi Pnt Grigio Rime,7485.78,35.1410273879275
512,Banfi Poggio All'Oro Br Mont,3755.75,55.343140517872605
513,Banfi Poggio Alle Mura Montl,9308.6,28.801538362374586
514,Banfi Poggio Alle Mura Rsva,1876.82,72.32339808825566
519,Banfi Summus Tuscany Red,2902.52,83.68176618938027
520,Banknote Counterfeit,579.71,38.46578461644615
521,Banshee 12 Marine Layer Pnt,1221.74,39.67292549969716
522,Banshee Cab Svgn Napa Vly,6997.9400000000005,60.37548192753869
523,Banshee Chard,670.64,82.15137778838125
524,Banshee Mordecai Proprietary,4977.509999999999,30.782660406508462
526,Banshee Rose 14 Pnt Nr Sonom,203.88,34.66745144202473
528,Barbarossa Spiced Rum,945.14,98.22460164631696
529,Barbera d'Alba Alessandria,5085.53,45.47706925335216
530,Barboursville Rsv Cab Franc,143.94,33.76406836181742
532,Barco de Piedra Temp Red,407.76,35.49146556798116
533,Barcraft Watermelon Fresca V,6294.75,84.72504865165415
534,Barefoot Bubbly Berry Fusion,109.89,33.33333333333333
542,Barefoot Bubbly Tropical Fus,459.54,16.161813987900953
544,Barefoot Cellars Cab Svgn,2329.91,27.80407826911769
545,Barefoot Cellars Malbec,6333.43,23.20430142439484
